2025-10-24 10:36:27,473 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/", "status_code": 200, "process_time": "0.002s", "request_body": null}
2025-10-24 11:22:21,440 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/", "status_code": 200, "process_time": "0.002s", "request_body": null}
2025-10-24 11:29:23,208 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master_data", "status_code": 404, "process_time": "0.003s", "request_body": null}
2025-10-24 11:30:10,787 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master_data", "status_code": 404, "process_time": "0.001s", "request_body": null}
2025-10-24 11:30:11,814 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master_data", "status_code": 404, "process_time": "0.000s", "request_body": null}
2025-10-24 11:31:31,676 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master_data", "status_code": 404, "process_time": "0.001s", "request_body": null}
2025-10-24 11:31:40,889 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master_data", "status_code": 404, "process_time": "0.001s", "request_body": null}
2025-10-24 11:32:14,681 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master_data", "status_code": 404, "process_time": "0.001s", "request_body": null}
2025-10-24 11:32:15,750 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master_data", "status_code": 404, "process_time": "0.001s", "request_body": null}
2025-10-24 11:32:16,396 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master_data", "status_code": 404, "process_time": "0.000s", "request_body": null}
2025-10-24 14:19:16,442 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.007s", "request_body": null}
2025-10-24 14:19:16,476 | ERROR | medvault_logger | HTTP Error: Object of type Gender is not JSON serializable
2025-10-24 14:20:19,168 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.001s", "request_body": null}
2025-10-24 14:20:19,174 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data/", "status_code": 200, "process_time": "0.001s", "request_body": null}
2025-10-24 14:21:15,585 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.001s", "request_body": null}
2025-10-24 14:21:15,588 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data/", "status_code": 200, "process_time": "0.001s", "request_body": null}
2025-10-24 14:21:31,998 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.001s", "request_body": null}
2025-10-24 14:21:32,002 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data/", "status_code": 200, "process_time": "0.001s", "request_body": null}
2025-10-24 14:21:55,874 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.001s", "request_body": null}
2025-10-24 14:21:55,877 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data/", "status_code": 200, "process_time": "0.001s", "request_body": null}
2025-10-24 14:22:04,652 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.001s", "request_body": null}
2025-10-24 14:22:04,658 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data/", "status_code": 200, "process_time": "0.002s", "request_body": null}
2025-10-24 14:22:27,891 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.001s", "request_body": null}
2025-10-24 14:22:27,903 | ERROR | medvault_logger | HTTP Error: Object of type Gender is not JSON serializable
2025-10-24 14:24:10,589 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.000s", "request_body": null}
2025-10-24 14:24:10,592 | INFO | medvault_logger | Fetching all master data
2025-10-24 14:24:10,597 | INFO | medvault_logger | Fetched all master data successfully
2025-10-24 14:24:10,597 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data/", "status_code": 200, "process_time": "0.005s", "request_body": null}
2025-10-24 14:30:31,378 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.001s", "request_body": null}
2025-10-24 14:30:31,382 | INFO | medvault_logger | Fetching all master data
2025-10-24 14:30:31,390 | INFO | medvault_logger | Fetched all master data successfully
2025-10-24 14:30:31,391 | ERROR | medvault_logger | HTTP Error: Object of type Gender is not JSON serializable
2025-10-24 14:38:13,244 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.001s", "request_body": null}
2025-10-24 14:38:13,249 | INFO | medvault_logger | Fetching all master data
2025-10-24 14:38:13,256 | INFO | medvault_logger | Fetched all master data successfully
2025-10-24 14:38:13,257 | ERROR | medvault_logger | HTTP Error: Object of type Gender is not JSON serializable
2025-10-24 17:09:35,679 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.001s", "request_body": null}
2025-10-24 17:09:35,684 | INFO | medvault_logger | Fetching all master data
2025-10-24 17:09:35,685 | ERROR | medvault_logger | Failed fetching master data: You must set the config attribute `from_attributes=True` to use from_orm
2025-10-24 17:09:35,686 | ERROR | medvault_logger | HTTP Error: You must set the config attribute `from_attributes=True` to use from_orm
2025-10-24 17:15:27,757 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.001s", "request_body": null}
2025-10-24 17:15:27,761 | INFO | medvault_logger | Fetching all master data
2025-10-24 17:15:27,768 | INFO | medvault_logger | Fetched all master data successfully
2025-10-24 17:15:27,768 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data/", "status_code": 200, "process_time": "0.008s", "request_body": null}
2025-10-24 17:16:16,321 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data", "status_code": 307, "process_time": "0.001s", "request_body": null}
2025-10-24 17:16:16,325 | INFO | medvault_logger | Fetching all master data
2025-10-24 17:16:16,334 | INFO | medvault_logger | Fetched all master data successfully
2025-10-24 17:16:16,334 | INFO | medvault_logger | {"method": "GET", "url": "http://127.0.0.1:8000/master-data/", "status_code": 200, "process_time": "0.010s", "request_body": null}
